"Divorces by age of couples 1961-2011"

"Sex";"Year";"15-19 years";"20-24 years";"25-29 years";"30-34 years";"35-39 years";"40-44 years";"45-49 years";"50-54 years";"55-59 years";"60 years and over"
"Females";"2001";2;25;73;96;107;99;72;47;14;16
"Females";"2002";2;15;60;87;112;93;71;42;24;22
"Females";"2003";1;30;48;73;117;101;69;46;37;18
"Females";"2004";1;21;68;87;99;104;82;52;23;23
"Females";"2005";0;29;61;101;103;100;74;45;27;20
"Females";"2006";0;14;50;85;102;107;74;37;27;17
"Females";"2007";1;13;71;83;91;93;84;42;26;21
"Females";"2008";0;18;60;87;100;114;80;56;23;19
"Females";"2009";0;12;65;98;92;98;54;65;38;30
"Females";"2010";1;18;49;111;103;89;91;63;25;18
"Females";"2011";0;10;46;69;101;102;78;51;29;22
