"Fertility 1853-2014"

"Year";"15-19  years";"20-24 years";"25-29 years";"30-34 years";"35-39 years";"40-44 years";"45-49 years"
"1980";57.7;143.4;141.5;97.9;46.3;8.4;0.4
"1981";49.2;138.1;134.6;92.5;43.9;7.7;0.4
"1982";48.1;139.7;130.8;86.7;36.5;10.5;0.2
"1983";39.8;136.9;135.2;89.3;37.5;9.9;0.2
"1984";36.8;124.0;124.4;86.1;38.1;6.8;0.0
"1985";33.7;112.4;117.2;80.9;36.2;5.9;0.4
"1986";30.7;110.4;123.7;81.3;33.8;6.4;0.4
"1987";29.6;117.8;126.0;93.7;38.6;8.2;0.3
"1988";32.4;117.8;146.1;106.3;43.3;7.8;0.0
"1989";29.8;113.2;138.7;103.5;46.3;9.0;0.3
"1990";30.4;116.9;145.3;111.9;50.1;6.9;0.1
"1991";27.9;102.0;137.2;107.5;52.2;10.0;0.1
"1992";26.5;103.6;141.5;108.4;52.2;9.8;0.3
"1993";23.0;104.9;143.6;108.9;52.3;11.6;0.1
"1994";23.2;98.5;137.2;106.3;53.3;9.8;0.1
"1995";23.4;94.1;128.8;110.6;50.2;8.4;0.5
"1996";22.1;93.1;134.7;109.8;55.4;8.4;0.4
"1997";24.5;92.4;126.2;105.7;49.6;9.5;0.1
"1998";24.1;88.5;131.5;104.8;49.8;10.5;0.2
"1999";23.8;88.3;122.6;103.3;52.6;8.3;0.0
"2000";22.8;88.4;130.4;112.4;50.4;10.4;0.4
"2001";19.7;79.6;125.9;100.4;54.0;9.9;0.2
"2002";18.2;75.3;120.4;107.2;54.6;10.0;0.7
"2003";16.4;75.8;130.1;115.0;48.9;11.7;0.2
"2004";13.0;75.7;132.6;117.9;55.9;11.2;0.4
"2005";15.1;81.5;129.9;114.0;58.4;10.6;0.8
"2006";14.4;78.8;128.3;119.4;62.5;11.2;0.3
"2007";14.2;77.4;134.0;121.9;60.0;10.2;1.0
"2008";14.6;76.8;134.2;120.6;67.1;13.7;0.9
"2009";14.3;74.9;140.7;130.7;67.7;15.1;0.7
"2010";12.9;72.9;137.7;127.5;73.7;14.6;0.2
"2011";10.8;63.4;128.2;121.7;63.6;15.0;0.9
"2012";11.0;63.3;134.0;117.2;66.1;15.1;0.5
"2013";7.1;62.2;117.7;117.0;65.8;14.9;1.8
"2014";7.5;64.7;122.8;112.2;64.7;12.8;1.5
