"External migration by sex, age and citizenship 1986-2014"

"Sex";"Year";"Age";"Total Net immigration"
"Total";"1986";"1 year";-9
"Total";"1986";"2 years";-12
"Total";"1986";"3 years";-22
"Total";"1986";"4 years";-1
"Total";"1986";"5 years";-15
"Total";"1986";"6 years";2
"Total";"1986";"7 years";-9
"Total";"1986";"8 years";-3
"Total";"1986";"9 years";3
"Total";"1986";"10 years";1
"Total";"1986";"11 years";5
"Total";"1986";"12 years";5
"Total";"1986";"13 years";1
"Total";"1986";"14 years";-1
"Total";"1986";"15 years";8
"Total";"1986";"16 years";-7
"Total";"1986";"17 years";8
"Total";"1986";"18 years";-9
"Total";"1986";"19 years";11
"Total";"1986";"20 years";-38
"Total";"1986";"21 years";-48
"Total";"1986";"22 years";-35
"Total";"1986";"23 years";-65
"Total";"1986";"24 years";-41
"Total";"1986";"25 years";-26
"Total";"1986";"26 years";20
"Total";"1986";"27 years";-23
"Total";"1986";"28 years";-14
"Total";"1986";"29 years";-36
"Total";"1986";"30 years";-25
"Total";"1986";"31 years";3
"Total";"1986";"32 years";-2
"Total";"1986";"33 years";3
"Total";"1986";"34 years";11
"Total";"1986";"35 years";10
"Total";"1986";"36 years";13
"Total";"1986";"37 years";-12
"Total";"1986";"38 years";2
"Total";"1986";"39 years";-6
"Total";"1986";"40 years";10
"Total";"1986";"41 years";6
"Total";"1986";"42 years";-11
"Total";"1986";"43 years";8
"Total";"1986";"44 years";-4
"Total";"1986";"45 years";-4
"Total";"1986";"46 years";3
"Total";"1986";"47 years";-2
"Total";"1986";"48 years";-2
"Total";"1986";"49 years";-1
"Total";"1986";"50 years";4
"Total";"1986";"51 years";2
"Total";"1986";"52 years";-2
"Total";"1986";"53 years";-8
"Total";"1986";"54 years";-1
"Total";"1986";"55 years";-1
"Total";"1986";"56 years";-1
"Total";"1986";"57 years";4
"Total";"1986";"58 years";1
"Total";"1986";"59 years";3
"Total";"1986";"60 years";0
"Total";"1986";"61 years";1
"Total";"1986";"62 years";1
"Total";"1986";"63 years";4
"Total";"1986";"64 years";2
"Total";"1986";"65 years";3
"Total";"1986";"66 years";0
"Total";"1986";"67 years";1
"Total";"1986";"68 years";-3
"Total";"1986";"69 years";2
"Total";"1986";"70 years";2
"Total";"1986";"71 years";1
"Total";"1986";"72 years";-
"Total";"1986";"73 years";0
"Total";"1986";"74 years";0
"Total";"1986";"75 years";1
"Total";"1986";"76 years";-
"Total";"1986";"77 years";-
"Total";"1986";"78 years";1
"Total";"1986";"79 years";-
"Total";"1986";"80 years";-1
"Total";"1986";"81 years";2
"Total";"1986";"82 years";-
"Total";"1986";"83 years";1
"Total";"1986";"84 years";-
"Total";"1986";"85 years";-
"Total";"1986";"86 years";-
"Total";"1986";"87 years";-
"Total";"1986";"88 years";1
"Total";"1986";"89 years";-
"Total";"1986";"90 years";2
"Total";"1986";"91 years";-
"Total";"1986";"92 years";-
"Total";"1986";"93 years";-
"Total";"1986";"94 years";-
"Total";"1986";"95 years";-
"Total";"1986";"96 years";-
"Total";"1986";"97 years";-
"Total";"1986";"98 years";-
"Total";"1986";"99 years";-
"Total";"1986";"100 years";-
"Total";"1986";"101 years";-
"Total";"1986";"102 years";-
"Total";"1986";"103 years";-
"Total";"1986";"104 years";-
"Total";"1986";"105 years";-
"Total";"1986";"106 years";-
"Total";"1986";"107 years";-
"Total";"1986";"108 years";-
"Total";"1986";"109 years";-
"Total";"1986";"110 years";-
"Total";"1987";"1 year";32
"Total";"1987";"2 years";14
"Total";"1987";"3 years";10
"Total";"1987";"4 years";13
"Total";"1987";"5 years";16
"Total";"1987";"6 years";26
"Total";"1987";"7 years";26
"Total";"1987";"8 years";21
"Total";"1987";"9 years";28
