"Aldur","Svæði","Year.and.month","Value"
"16-19 ára","Höfuðborgarsvæðið","2000-02",63
"16-19 ára","Höfuðborgarsvæðið","2000-03",72
"16-19 ára","Höfuðborgarsvæðið","2000-04",64
"16-19 ára","Höfuðborgarsvæðið","2000-05",40
"16-19 ára","Höfuðborgarsvæðið","2000-06",43
"16-19 ára","Höfuðborgarsvæðið","2000-07",40
"16-19 ára","Höfuðborgarsvæðið","2000-08",27
"16-19 ára","Höfuðborgarsvæðið","2000-09",20
"16-19 ára","Höfuðborgarsvæðið","2000-10",28
"16-19 ára","Höfuðborgarsvæðið","2000-11",52
"16-19 ára","Höfuðborgarsvæðið","2000-12",44
"16-19 ára","Höfuðborgarsvæðið","2001-01",55
"16-19 ára","Höfuðborgarsvæðið","2001-02",51
"16-19 ára","Höfuðborgarsvæðið","2001-03",46
"16-19 ára","Höfuðborgarsvæðið","2001-04",54
"16-19 ára","Höfuðborgarsvæðið","2001-05",72
"16-19 ára","Höfuðborgarsvæðið","2001-06",68
"16-19 ára","Höfuðborgarsvæðið","2001-07",54
"16-19 ára","Höfuðborgarsvæðið","2001-08",32
"16-19 ára","Höfuðborgarsvæðið","2001-09",39
"16-19 ára","Höfuðborgarsvæðið","2001-10",63
"16-19 ára","Höfuðborgarsvæðið","2001-11",86
"16-19 ára","Höfuðborgarsvæðið","2001-12",86
"16-19 ára","Höfuðborgarsvæðið","2002-01",160
"16-19 ára","Höfuðborgarsvæðið","2002-02",182
"16-19 ára","Höfuðborgarsvæðið","2002-03",220
"16-19 ára","Höfuðborgarsvæðið","2002-04",192
"16-19 ára","Höfuðborgarsvæðið","2002-05",244
"16-19 ára","Höfuðborgarsvæðið","2002-06",214
"16-19 ára","Höfuðborgarsvæðið","2002-07",229
"16-19 ára","Höfuðborgarsvæðið","2002-08",153
"16-19 ára","Höfuðborgarsvæðið","2002-09",138
"16-19 ára","Höfuðborgarsvæðið","2002-10",162
"16-19 ára","Höfuðborgarsvæðið","2002-11",167
"16-19 ára","Höfuðborgarsvæðið","2002-12",169
"16-19 ára","Höfuðborgarsvæðið","2003-01",252
"16-19 ára","Höfuðborgarsvæðið","2003-02",285
"16-19 ára","Höfuðborgarsvæðið","2003-03",304
"16-19 ára","Höfuðborgarsvæðið","2003-04",270
"16-19 ára","Höfuðborgarsvæðið","2003-05",296
"16-19 ára","Höfuðborgarsvæðið","2003-06",280
"16-19 ára","Höfuðborgarsvæðið","2003-07",232
"16-19 ára","Höfuðborgarsvæðið","2003-08",158
"16-19 ára","Höfuðborgarsvæðið","2003-09",124
"16-19 ára","Höfuðborgarsvæðið","2003-10",137
"16-19 ára","Höfuðborgarsvæðið","2003-11",133
"16-19 ára","Höfuðborgarsvæðið","2003-12",136
"16-19 ára","Höfuðborgarsvæðið","2004-01",171
"16-19 ára","Höfuðborgarsvæðið","2004-02",194
"16-19 ára","Höfuðborgarsvæðið","2004-03",205
"16-19 ára","Höfuðborgarsvæðið","2004-04",184
"16-19 ára","Höfuðborgarsvæðið","2004-05",220
"16-19 ára","Höfuðborgarsvæðið","2004-06",187
"16-19 ára","Höfuðborgarsvæðið","2004-07",176
"16-19 ára","Höfuðborgarsvæðið","2004-08",124
"16-19 ára","Höfuðborgarsvæðið","2004-09",101
"16-19 ára","Höfuðborgarsvæðið","2004-10",109
"16-19 ára","Höfuðborgarsvæðið","2004-11",110
"16-19 ára","Höfuðborgarsvæðið","2004-12",110
"16-19 ára","Höfuðborgarsvæðið","2005-01",122
"16-19 ára","Höfuðborgarsvæðið","2005-02",127
"16-19 ára","Höfuðborgarsvæðið","2005-03",92
"16-19 ára","Höfuðborgarsvæðið","2005-04",82
"16-19 ára","Höfuðborgarsvæðið","2005-05",77
"16-19 ára","Höfuðborgarsvæðið","2005-06",68
"16-19 ára","Höfuðborgarsvæðið","2005-07",73
"16-19 ára","Höfuðborgarsvæðið","2005-08",42
"16-19 ára","Höfuðborgarsvæðið","2005-09",43
"16-19 ára","Höfuðborgarsvæðið","2005-10",39
"16-19 ára","Höfuðborgarsvæðið","2005-11",36
"16-19 ára","Höfuðborgarsvæðið","2005-12",35
"16-19 ára","Höfuðborgarsvæðið","2006-01",37
"16-19 ára","Höfuðborgarsvæðið","2006-02",41
"16-19 ára","Höfuðborgarsvæðið","2006-03",45
"16-19 ára","Höfuðborgarsvæðið","2006-04",39
"16-19 ára","Höfuðborgarsvæðið","2006-05",46
"16-19 ára","Höfuðborgarsvæðið","2006-06",48
"16-19 ára","Höfuðborgarsvæðið","2006-07",52
"16-19 ára","Höfuðborgarsvæðið","2006-08",20
"16-19 ára","Höfuðborgarsvæðið","2006-09",15
"16-19 ára","Höfuðborgarsvæðið","2006-10",22
"16-19 ára","Höfuðborgarsvæðið","2006-11",15
"16-19 ára","Höfuðborgarsvæðið","2006-12",28
"16-19 ára","Höfuðborgarsvæðið","2007-01",30
"16-19 ára","Höfuðborgarsvæðið","2007-02",30
"16-19 ára","Höfuðborgarsvæðið","2007-03",26
"16-19 ára","Höfuðborgarsvæðið","2007-04",23
"16-19 ára","Höfuðborgarsvæðið","2007-05",31
"16-19 ára","Höfuðborgarsvæðið","2007-06",24
"16-19 ára","Höfuðborgarsvæðið","2007-07",19
"16-19 ára","Höfuðborgarsvæðið","2007-08",19
"16-19 ára","Höfuðborgarsvæðið","2007-09",16
"16-19 ára","Höfuðborgarsvæðið","2007-10",10
"16-19 ára","Höfuðborgarsvæðið","2007-11",11
"16-19 ára","Höfuðborgarsvæðið","2007-12",17
"16-19 ára","Höfuðborgarsvæðið","2008-01",21
"16-19 ára","Höfuðborgarsvæðið","2008-02",26
"16-19 ára","Höfuðborgarsvæðið","2008-03",23
"16-19 ára","Höfuðborgarsvæðið","2008-04",26
"16-19 ára","Höfuðborgarsvæðið","2008-05",34
"16-19 ára","Höfuðborgarsvæðið","2008-06",31
"16-19 ára","Höfuðborgarsvæðið","2008-07",40
"16-19 ára","Höfuðborgarsvæðið","2008-08",30
"16-19 ára","Höfuðborgarsvæðið","2008-09",50
"16-19 ára","Höfuðborgarsvæðið","2008-10",119
"16-19 ára","Höfuðborgarsvæðið","2008-11",196
"16-19 ára","Höfuðborgarsvæðið","2008-12",258
"16-19 ára","Höfuðborgarsvæðið","2009-01",347
"16-19 ára","Höfuðborgarsvæðið","2009-02",387
"16-19 ára","Höfuðborgarsvæðið","2009-03",451
"16-19 ára","Höfuðborgarsvæðið","2009-04",436
"16-19 ára","Höfuðborgarsvæðið","2009-05",482
"16-19 ára","Höfuðborgarsvæðið","2009-06",513
"16-19 ára","Höfuðborgarsvæðið","2009-07",507
"16-19 ára","Höfuðborgarsvæðið","2009-08",336
"16-19 ára","Höfuðborgarsvæðið","2009-09",300
"16-19 ára","Höfuðborgarsvæðið","2009-10",289
"16-19 ára","Höfuðborgarsvæðið","2009-11",286
"16-19 ára","Höfuðborgarsvæðið","2009-12",243
"16-19 ára","Höfuðborgarsvæðið","2010-01",294
"16-19 ára","Höfuðborgarsvæðið","2010-02",313
"16-19 ára","Höfuðborgarsvæðið","2010-03",337
"16-19 ára","Höfuðborgarsvæðið","2010-04",306
"16-19 ára","Höfuðborgarsvæðið","2010-05",277
"16-19 ára","Höfuðborgarsvæðið","2010-06",272
"16-19 ára","Höfuðborgarsvæðið","2010-07",253
"16-19 ára","Höfuðborgarsvæðið","2010-08",204
"16-19 ára","Höfuðborgarsvæðið","2010-09",189
"16-19 ára","Höfuðborgarsvæðið","2010-10",206
"16-19 ára","Höfuðborgarsvæðið","2010-11",215
"16-19 ára","Höfuðborgarsvæðið","2010-12",187
"16-19 ára","Höfuðborgarsvæðið","2011-01",195
"16-19 ára","Höfuðborgarsvæðið","2011-02",213
"16-19 ára","Höfuðborgarsvæðið","2011-03",216
"16-19 ára","Höfuðborgarsvæðið","2011-04",196
"16-19 ára","Höfuðborgarsvæðið","2011-05",184
"16-19 ára","Höfuðborgarsvæðið","2011-06",160
"16-19 ára","Höfuðborgarsvæðið","2011-07",144
"16-19 ára","Höfuðborgarsvæðið","2011-08",122
"16-19 ára","Höfuðborgarsvæðið","2011-09",124
"16-19 ára","Höfuðborgarsvæðið","2011-10",128
"16-19 ára","Höfuðborgarsvæðið","2011-11",139
"16-19 ára","Höfuðborgarsvæðið","2011-12",125
"16-19 ára","Höfuðborgarsvæðið","2012-01",131
"16-19 ára","Höfuðborgarsvæðið","2012-02",155
"16-19 ára","Höfuðborgarsvæðið","2012-03",158
"16-19 ára","Höfuðborgarsvæðið","2012-04",148
"16-19 ára","Höfuðborgarsvæðið","2012-05",125
"16-19 ára","Höfuðborgarsvæðið","2012-06",112
"16-19 ára","Höfuðborgarsvæðið","2012-07",107
"20-24 ára","Höfuðborgarsvæðið","2000-02",196
"20-24 ára","Höfuðborgarsvæðið","2000-03",192
"20-24 ára","Höfuðborgarsvæðið","2000-04",176
"20-24 ára","Höfuðborgarsvæðið","2000-05",186
"20-24 ára","Höfuðborgarsvæðið","2000-06",160
"20-24 ára","Höfuðborgarsvæðið","2000-07",151
"20-24 ára","Höfuðborgarsvæðið","2000-08",120
"20-24 ára","Höfuðborgarsvæðið","2000-09",98
"20-24 ára","Höfuðborgarsvæðið","2000-10",101
"20-24 ára","Höfuðborgarsvæðið","2000-11",130
"20-24 ára","Höfuðborgarsvæðið","2000-12",132
"20-24 ára","Höfuðborgarsvæðið","2001-01",170
"20-24 ára","Höfuðborgarsvæðið","2001-02",156
"20-24 ára","Höfuðborgarsvæðið","2001-03",136
"20-24 ára","Höfuðborgarsvæðið","2001-04",167
"20-24 ára","Höfuðborgarsvæðið","2001-05",182
"20-24 ára","Höfuðborgarsvæðið","2001-06",193
"20-24 ára","Höfuðborgarsvæðið","2001-07",191
"20-24 ára","Höfuðborgarsvæðið","2001-08",161
"20-24 ára","Höfuðborgarsvæðið","2001-09",157
"20-24 ára","Höfuðborgarsvæðið","2001-10",199
"20-24 ára","Höfuðborgarsvæðið","2001-11",249
"20-24 ára","Höfuðborgarsvæðið","2001-12",252
"20-24 ára","Höfuðborgarsvæðið","2002-01",394
"20-24 ára","Höfuðborgarsvæðið","2002-02",466
"20-24 ára","Höfuðborgarsvæðið","2002-03",484
"20-24 ára","Höfuðborgarsvæðið","2002-04",514
"20-24 ára","Höfuðborgarsvæðið","2002-05",543
"20-24 ára","Höfuðborgarsvæðið","2002-06",543
"20-24 ára","Höfuðborgarsvæðið","2002-07",517
"20-24 ára","Höfuðborgarsvæðið","2002-08",409
"20-24 ára","Höfuðborgarsvæðið","2002-09",390
"20-24 ára","Höfuðborgarsvæðið","2002-10",433
"20-24 ára","Höfuðborgarsvæðið","2002-11",481
"20-24 ára","Höfuðborgarsvæðið","2002-12",520
"20-24 ára","Höfuðborgarsvæðið","2003-01",684
"20-24 ára","Höfuðborgarsvæðið","2003-02",779
"20-24 ára","Höfuðborgarsvæðið","2003-03",755
"20-24 ára","Höfuðborgarsvæðið","2003-04",729
"20-24 ára","Höfuðborgarsvæðið","2003-05",798
"20-24 ára","Höfuðborgarsvæðið","2003-06",736
"20-24 ára","Höfuðborgarsvæðið","2003-07",688
"20-24 ára","Höfuðborgarsvæðið","2003-08",561
"20-24 ára","Höfuðborgarsvæðið","2003-09",465
"20-24 ára","Höfuðborgarsvæðið","2003-10",503
"20-24 ára","Höfuðborgarsvæðið","2003-11",562
"20-24 ára","Höfuðborgarsvæðið","2003-12",562
"20-24 ára","Höfuðborgarsvæðið","2004-01",627
"20-24 ára","Höfuðborgarsvæðið","2004-02",641
"20-24 ára","Höfuðborgarsvæðið","2004-03",612
"20-24 ára","Höfuðborgarsvæðið","2004-04",611
"20-24 ára","Höfuðborgarsvæðið","2004-05",731
"20-24 ára","Höfuðborgarsvæðið","2004-06",752
"20-24 ára","Höfuðborgarsvæðið","2004-07",681
"20-24 ára","Höfuðborgarsvæðið","2004-08",575
"20-24 ára","Höfuðborgarsvæðið","2004-09",474
"20-24 ára","Höfuðborgarsvæðið","2004-10",475
"20-24 ára","Höfuðborgarsvæðið","2004-11",467
"20-24 ára","Höfuðborgarsvæðið","2004-12",467
"20-24 ára","Höfuðborgarsvæðið","2005-01",514
"20-24 ára","Höfuðborgarsvæðið","2005-02",491
"20-24 ára","Höfuðborgarsvæðið","2005-03",422
"20-24 ára","Höfuðborgarsvæðið","2005-04",392
"20-24 ára","Höfuðborgarsvæðið","2005-05",427
"20-24 ára","Höfuðborgarsvæðið","2005-06",390
"20-24 ára","Höfuðborgarsvæðið","2005-07",392
"20-24 ára","Höfuðborgarsvæðið","2005-08",260
"20-24 ára","Höfuðborgarsvæðið","2005-09",192
"20-24 ára","Höfuðborgarsvæðið","2005-10",177
"20-24 ára","Höfuðborgarsvæðið","2005-11",173
"20-24 ára","Höfuðborgarsvæðið","2005-12",179
"20-24 ára","Höfuðborgarsvæðið","2006-01",192
"20-24 ára","Höfuðborgarsvæðið","2006-02",202
"20-24 ára","Höfuðborgarsvæðið","2006-03",174
"20-24 ára","Höfuðborgarsvæðið","2006-04",192
"20-24 ára","Höfuðborgarsvæðið","2006-05",199
"20-24 ára","Höfuðborgarsvæðið","2006-06",214
