Meðalatvinnutekjur í aðalstarfi eftir kyni og aldri 1998-2005;;;;;;;;;
;;;;;;;;;
Landshlutar;Aldur;Konur 1998;Konur 1999;Konur 2000;Konur 2001;Konur 2002;Konur 2003;Konur 2004;Konur 2005
Alls;0-15 ára;279;289;313;313;275;267;309;324
Alls;16-19 ára;678;707;770;785;787;805;838;871
Alls;20-24 ára;973;1068;1189;1286;1304;1323;1377;1465
Alls;25-29 ára;1282;1408;1570;1741;1828;1890;1940;2101
Alls;30-34 ára;1402;1567;1724;1911;2042;2169;2255;2483
Alls;35-39 ára;1426;1580;1748;1980;2152;2287;2411;2663
Alls;40-44 ára;1524;1674;1812;2051;2238;2374;2487;2749
Alls;45-49 ára;1573;1738;1895;2131;2344;2476;2559;2802
Alls;50-54 ára;1490;1662;1812;2051;2270;2424;2533;2772
Alls;55-59 ára;1393;1527;1650;1859;2055;2210;2358;2604
Alls;60-64 ára;1278;1414;1514;1704;1852;1989;2079;2311
Alls;65-69 ára;1175;1260;1365;1546;1672;1756;1856;2068
Alls;70-74 ára;915;959;1007;1077;1228;1308;1280;1442
Alls;75+ ára;900;923;1046;1155;1135;1141;1131;1209
